Image,Label
248.jpg,1
107.jpg,0
357.jpg,0
155.jpg,0
204.jpg,1
28.jpg,0
306.jpg,0
102.jpg,0
22.jpg,0
196.jpg,1
171.jpg,0
128.jpg,0
305.jpg,0
371.jpg,0
6.jpg,0
350.jpg,0
362.jpg,1
166.jpg,1
260.jpg,0
272.jpg,1
118.jpg,0
326.jpg,1
317.jpg,0
13.jpg,1
64.jpg,1
288.jpg,0
123.jpg,1
339.jpg,0
49.jpg,0
60.jpg,1
61.jpg,1
137.jpg,1
342.jpg,1
200.jpg,1
9.jpg,1
125.jpg,0
54.jpg,1
285.jpg,0
318.jpg,1
84.jpg,0
106.jpg,0
312.jpg,0
3.jpg,1
52.jpg,0
325.jpg,1
377.jpg,0
23.jpg,0
310.jpg,1
159.jpg,1
34.jpg,0
239.jpg,1
19.jpg,0
24.jpg,1
223.jpg,0
351.jpg,1
295.jpg,0
